BATSMEN,,R,B,4s,6s,SR

RA Tripathi,c †Karthik b Russell,27,15,4,1,180.00
JC Buttler †,c Scantlebury-Searles b Kuldeep Yadav,39,22,5,2,177.27
AM Rahane (c), b Kuldeep Yadav,11,12,1,0,91.66
SV Samson,lbw b Narine,12,10,2,0,120.00
BA Stokes,c & b Kuldeep Yadav,11,13,0,0,84.61
STR Binny,st †Karthik b Kuldeep Yadav,1,4,0,0,25.00
K Gowtham,c †Karthik b Shivam Mavi,3,5,0,0,60.00
JD Unadkat, b Prasidh Krishna,26,18,3,1,144.44
IS Sodhi,c †Karthik b Prasidh Krishna,1,6,0,0,16.66
JC Archer,c Shubman Gill b Russell,6,5,1,0,120.00
Anureet Singh,not out,3,4,0,0,75.00
BATSMEN,,R,B,4s,6s,SR

SP Narine,c Gowtham b Stokes,21,7,2,2,300.00
CA Lynn,c Anureet Singh b Stokes,45,42,5,1,107.14
RV Uthappa,c Tripathi b Stokes,4,6,0,0,66.66
N Rana,lbw b Sodhi,21,17,2,1,123.52
KD Karthik (c) †,not out,41,31,5,1,132.25
AD Russell,not out,11,5,2,0,220.00
