BATSMEN,,R,B,4s,6s,SR

RV Uthappa,c †Saha b Kumar,3,8,0,0,37.50
CA Lynn,c & b Shakib Al Hasan,49,34,7,1,144.11
N Rana,c Pandey b Stanlake,18,16,2,1,112.50
SP Narine,c Williamson b Shakib Al Hasan,9,10,1,0,90.00
KD Karthik (c) †,c †Saha b Kumar,29,27,2,1,107.40
AD Russell,c Pandey b Stanlake,9,5,0,1,180.00
Shubman Gill,c Shakib Al Hasan b Kumar,3,9,0,0,33.33
Shivam Mavi,c Kumar b Kaul,7,8,0,0,87.50
MG Johnson,not out,4,5,0,0,80.00
BATSMEN,,R,B,4s,6s,SR

WP Saha †,c †Karthik b Narine,24,15,5,0,160.00
S Dhawan, b Narine,7,7,1,0,100.00
KS Williamson (c),c Russell b Johnson,50,44,4,1,113.63
MK Pandey,lbw b Kuldeep Yadav,4,11,0,0,36.36
Shakib Al Hasan, b Chawla,27,21,2,1,128.57
DJ Hooda,not out,5,9,0,0,55.55
YK Pathan,not out,17,7,2,1,242.85
