BATSMEN,,R,B,4s,6s,SR

BB McCullum, b Narine,43,27,6,2,159.25
Q de Kock †,c Vinay Kumar b Chawla,4,4,1,0,100.00
V Kohli (c), b Rana,31,33,1,1,93.93
AB de Villiers,c Johnson b Rana,44,23,1,5,191.30
SN Khan,c Singh b Johnson,6,10,0,0,60.00
Mandeep Singh,c Kuldeep Yadav b Vinay Kumar,37,18,4,2,205.55
CR Woakes,c Russell b Vinay Kumar,5,5,1,0,100.00
Washington Sundar,not out,0,0,0,0,-
BATSMEN,,R,B,4s,6s,SR

SP Narine, b Yadav,50,19,4,5,263.15
CA Lynn,c de Villiers b Woakes,5,8,1,0,62.50
RV Uthappa,c McCullum b Yadav,13,12,0,1,108.33
N Rana,lbw b Washington Sundar,34,25,2,2,136.00
KD Karthik (c) †,not out,35,29,4,0,120.68
RK Singh,c †de Kock b Woakes,6,6,1,0,100.00
AD Russell,c de Villiers b Woakes,15,11,2,1,136.36
R Vinay Kumar,not out,6,3,1,0,200.00
