Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
B Kumar,4,0,51,1,12.75,11,5,4,1,0
Sandeep Sharma,4,0,24,0,6.00,11,2,1,0,0
Shakib Al Hasan,4,0,27,2,6.75,8,2,1,0,0
S Kaul,4,0,48,0,12.00,5,6,2,0,0
Rashid Khan,4,0,35,0,8.75,7,4,1,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
TA Boult,3.5,0,43,0,11.21,5,6,1,0,0
HV Patel,4,0,32,1,8.00,9,5,0,0,0
S Nadeem,2,0,22,0,11.00,2,0,2,0,0
LE Plunkett,4,0,41,0,10.25,3,4,1,0,0
A Mishra,3,0,29,0,9.66,3,3,1,0,0
V Shankar,1,0,14,0,14.00,1,1,1,1,0
GJ Maxwell,1,0,9,0,9.00,1,1,0,0,0

