BATSMEN,,R,B,4s,6s,SR

JJ Roy, b Chahal,5,16,0,0,31.25
G Gambhir (c),c Chahal b Yadav,3,10,0,0,30.00
SS Iyer,c Mohammed Siraj b Washington Sundar,52,31,4,3,167.74
RR Pant †,c de Villiers b Anderson,85,48,6,7,177.08
GJ Maxwell,c Mohammed Siraj b Chahal,4,6,0,0,66.66
R Tewatia,not out,13,9,3,0,144.44
CH Morris,not out,0,0,0,0,-
BATSMEN,,R,B,4s,6s,SR

Q de Kock †,run out (Shankar/†Pant),18,16,1,1,112.50
M Vohra,c Roy b Maxwell,2,5,0,0,40.00
V Kohli (c),c Boult b Patel,30,26,2,1,115.38
AB de Villiers,not out,90,39,10,5,230.76
CJ Anderson, b Boult,15,13,0,1,115.38
Mandeep Singh,not out,17,9,1,1,188.88
