BATSMEN,,R,B,4s,6s,SR
AD Hales, b Southee,5,5,1,0,100.00
S Dhawan,c Southee b Mohammed Siraj,13,19,1,0,68.42
KS Williamson (c),c Mandeep Singh b Yadav,56,39,5,2,143.58
MK Pandey,c Kohli b Chahal,5,7,0,0,71.42
Shakib Al Hasan,c Yadav b Southee,35,32,5,0,109.37
YK Pathan, b Mohammed Siraj,12,7,2,0,171.42
WP Saha †, b Mohammed Siraj,8,5,0,1,160.00
Rashid Khan,run out (Kohli/†Patel),1,3,0,0,33.33
B Kumar,not out,1,2,0,0,50.00
S Kaul,run out (Kohli/†Patel),1,1,0,0,100.00
Sandeep Sharma,lbw b Southee,0,1,0,0,0.00

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
MM Ali,3,0,19,0,6.33,6,2,0,0,0
UT Yadav,4,0,36,1,9.00,8,4,1,2,0
TG Southee,4,0,30,3,7.50,8,4,0,1,0
Mohammed Siraj,4,0,25,3,6.25,12,2,1,1,0
YS Chahal,4,0,25,1,6.25,9,1,1,0,1
C de Grandhomme,1,0,8,0,8.00,2,1,0,1,0

BATSMEN,,R,B,4s,6s,SR
M Vohra, b Sandeep Sharma,8,10,0,0,80.00
PA Patel †,lbw b Shakib Al Hasan,20,13,4,0,153.84
V Kohli (c),c Pathan b Shakib Al Hasan,39,30,5,1,130.00
AB de Villiers, b Rashid Khan,5,8,0,0,62.50
MM Ali,c †Saha b Kaul,10,7,2,0,142.85
Mandeep Singh,not out,21,23,1,0,91.30
C de Grandhomme, b Kumar,33,29,1,2,113.79

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
Sandeep Sharma,4,0,20,1,5.00,10,1,0,1,0
B Kumar,4,0,27,1,6.75,10,4,0,0,0
Shakib Al Hasan,4,0,36,2,9.00,7,4,1,0,0
S Kaul,4,0,25,1,6.25,6,2,0,0,0
Rashid Khan,4,0,31,1,7.75,12,2,2,2,0

