Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
R Ashwin,4,0,23,1,5.75,4,0,0,1,0
MM Sharma,4,0,33,2,8.25,5,2,1,0,0
Mujeeb Ur Rahman,4,0,28,2,7.00,9,3,0,1,0
AR Patel,3,0,35,1,11.66,3,3,2,0,0
AJ Tye,4,0,38,0,9.50,7,3,2,1,1
MP Stoinis,1,0,7,0,7.00,0,0,0,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
TA Boult,3.5,0,34,1,8.86,11,3,2,0,1
Mohammed Shami,2,0,26,0,13.00,3,4,1,0,0
A Mishra,4,0,46,0,11.50,4,4,2,0,0
CH Morris,3,0,25,1,8.33,8,3,1,0,0
DT Christian,2,0,12,1,6.00,6,0,1,0,0
R Tewatia,4,0,24,1,6.00,9,2,0,0,0

