BATSMEN,,R,B,4s,6s,SR

SA Yadav,c Unadkat b Archer,38,31,7,0,122.58
E Lewis,c Samson b Kulkarni,60,42,4,4,142.85
RG Sharma (c),c Unadkat b Archer,0,1,0,0,0.00
Ishan Kishan †,c Samson b Stokes,12,11,1,0,109.09
HH Pandya,c Samson b Stokes,36,21,3,2,171.42
KH Pandya,c Gowtham b Unadkat,3,7,0,0,42.85
BCJ Cutting,not out,10,7,0,1,142.85
JP Duminy,not out,0,0,0,0,-
BATSMEN,,R,B,4s,6s,SR

DJM Short,c †Ishan Kishan b Bumrah,4,5,1,0,80.00
JC Buttler †,not out,94,53,9,5,177.35
AM Rahane (c),c Yadav b HH Pandya,37,36,4,0,102.77
SV Samson,c sub (RD Chahar) b HH Pandya,26,14,2,2,185.71
BA Stokes,not out,0,0,0,0,-
