Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
DL Chahar,4,0,30,1,7.50,12,3,1,2,1
L Ngidi,4,1,10,4,2.50,16,0,0,1,0
Harbhajan Singh,1,0,13,0,13.00,1,1,1,0,0
SN Thakur,3.4,0,33,2,9.00,9,3,1,2,0
DJ Bravo,4,0,39,2,9.75,7,2,3,0,0
RA Jadeja,3,0,23,1,7.66,5,0,2,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
AS Rajpoot,4,1,19,2,4.75,18,2,1,0,1
MM Sharma,3.1,0,28,1,8.84,7,3,1,1,0
AJ Tye,4,0,47,0,11.75,6,4,2,5,0
AR Patel,4,0,28,0,7.00,7,1,1,0,0
R Ashwin,4,0,36,2,9.00,5,1,2,1,0

