Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
KH Pandya,2,0,11,1,5.50,5,1,0,0,0
JJ Bumrah,4,0,29,1,7.25,8,3,0,3,0
HH Pandya,4,0,36,0,9.00,8,3,2,1,0
Mustafizur Rahman,4,0,34,0,8.50,9,2,2,0,0
M Markande,2,0,21,1,10.50,2,2,1,0,0
BCJ Cutting,4,0,36,0,9.00,5,2,2,1,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
S Lamichhane,4,0,36,3,9.00,10,3,2,1,0
TA Boult,4,0,33,1,8.25,9,2,1,1,0
GJ Maxwell,2,0,19,0,9.50,6,1,2,0,0
HV Patel,2.3,0,28,3,11.20,6,2,2,1,0
LE Plunkett,3,0,27,0,9.00,5,2,1,2,0
A Mishra,4,0,19,3,4.75,13,0,1,0,0

