Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
R Vinay Kumar,2,0,30,2,15.00,6,3,3,0,0
PP Chawla,4,0,31,1,7.75,10,2,2,0,0
Kuldeep Yadav,3,0,33,0,11.00,4,1,2,1,0
SP Narine,4,0,30,1,7.50,9,3,1,0,0
MG Johnson,4,0,30,1,7.50,12,4,1,0,0
AD Russell,2,0,10,0,5.00,2,0,0,0,0
N Rana,1,0,11,2,11.00,3,1,1,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
YS Chahal,3,0,29,0,9.66,6,3,1,1,0
CR Woakes,4,0,36,3,9.00,15,5,2,2,0
Washington Sundar,4,0,48,1,12.00,4,2,4,1,0
UT Yadav,4,0,27,2,6.75,13,3,1,2,0
K Khejroliya,3.5,0,34,0,8.86,6,2,1,4,0

