Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
MG Johnson,4,0,51,0,12.75,6,4,4,0,0
PP Chawla,4,0,35,2,8.75,12,7,0,0,0
Shivam Mavi,3,0,21,0,7.00,6,1,1,1,0
SP Narine,4,0,20,2,5.00,10,2,0,0,0
AD Russell,1,0,12,0,12.00,1,2,0,1,0
Kuldeep Yadav,4,0,34,1,8.50,5,1,2,1,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
L Ngidi,3,0,36,1,12.00,5,4,2,1,0
KM Asif,3,0,32,1,10.66,11,1,4,1,0
SR Watson,2,0,19,0,9.50,6,4,0,1,0
RA Jadeja,4,0,39,1,9.75,7,2,1,2,0
Harbhajan Singh,3,0,20,1,6.66,10,4,0,0,0
DJ Bravo,1.4,0,22,0,13.20,3,4,0,2,0
KV Sharma,1,0,11,0,11.00,0,1,0,0,0

