Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
JP Duminy,2,0,28,0,14.00,5,2,3,0,0
MJ McClenaghan,4,0,34,1,8.50,13,1,3,1,1
JJ Bumrah,4,0,22,1,5.50,9,0,1,0,0
KH Pandya,4,0,24,0,6.00,11,1,1,0,0
M Markande,3,0,28,1,9.33,7,4,1,0,0
HH Pandya,3,0,28,3,9.33,8,2,2,0,1

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
TG Southee,4,0,25,2,6.25,14,3,1,1,0
UT Yadav,4,0,29,2,7.25,11,3,0,2,0
Mohammed Siraj,4,0,28,2,7.00,7,2,0,3,0
YS Chahal,4,0,23,0,5.75,14,2,0,3,0
Washington Sundar,1,0,15,0,15.00,0,1,1,0,0
C de Grandhomme,3,0,28,0,9.33,7,2,1,1,0

