Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
Washington Sundar,4,0,30,0,7.50,7,1,2,0,0
CR Woakes,4,0,47,2,11.75,7,4,3,2,0
UT Yadav,4,0,59,0,14.75,5,4,4,2,2
YS Chahal,4,0,22,2,5.50,12,3,0,1,0
K Khejroliya,3,0,40,0,13.33,4,1,4,1,0
P Negi,1,0,13,0,13.00,2,1,1,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
K Gowtham,4,0,36,1,9.00,8,5,1,0,0
DS Kulkarni,1,0,14,0,14.00,1,3,0,0,0
JD Unadkat,3,0,35,0,11.66,2,4,1,0,0
BA Stokes,3,0,32,1,10.66,7,3,1,2,0
S Gopal,4,0,22,2,5.50,11,1,1,0,0
DJM Short,1,0,10,1,10.00,1,0,1,0,0
B Laughlin,4,0,46,1,11.50,5,4,2,1,0

