BATSMEN,,R,B,4s,6s,SR

PP Shaw,c Thakur b Chahar,17,17,1,1,100.00
SS Iyer (c), b Ngidi,19,22,3,0,86.36
RR Pant †,c Bravo b Ngidi,38,26,3,2,146.15
GJ Maxwell, b Jadeja,5,7,0,0,71.42
V Shankar,not out,36,28,2,2,128.57
Abhishek Sharma,c Harbhajan Singh b Thakur,2,4,0,0,50.00
HV Patel,not out,36,16,1,4,225.00
BATSMEN,,R,B,4s,6s,SR

SR Watson,c Boult b Mishra,14,23,0,1,60.86
AT Rayudu,c Maxwell b Patel,50,29,4,4,172.41
SK Raina,c Shankar b Lamichhane,15,18,1,0,83.33
MS Dhoni (c) †,c Iyer b Boult,17,23,1,0,73.91
SW Billings,c Abhishek Sharma b Mishra,1,5,0,0,20.00
RA Jadeja,not out,27,18,0,2,150.00
DJ Bravo,c Shankar b Boult,1,2,0,0,50.00
DL Chahar,not out,1,2,0,0,50.00
