Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
DS Kulkarni,3,0,37,1,12.33,9,3,3,3,0
JC Archer,3.1,0,31,1,9.78,9,3,2,1,0
K Gowtham,2,0,27,0,13.50,2,4,1,0,0
JD Unadkat,4,0,46,3,11.50,7,4,2,0,0
S Gopal,2,0,26,1,13.00,6,0,4,0,0
BA Stokes,3,0,28,0,9.33,4,2,1,2,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
S Nadeem,1,0,13,0,13.00,1,1,1,0,0
TA Boult,3,0,26,2,8.66,5,3,0,3,0
Avesh Khan,2,0,36,0,18.00,2,2,4,0,0
LE Plunkett,3,0,37,0,12.33,5,3,3,0,0
A Mishra,2,0,12,1,6.00,5,0,1,0,0
GJ Maxwell,1,0,21,1,21.00,1,0,3,0,0

