BATSMEN,,R,B,4s,6s,SR
RG Sharma (c),c Shakib Al Hasan b Stanlake,11,10,1,1,110.00
E Lewis, b Kaul,29,17,3,2,170.58
Ishan Kishan †,c Pathan b Kaul,9,9,2,0,100.00
SA Yadav,c Hooda b Sandeep Sharma,28,31,2,1,90.32
KH Pandya,c Williamson b Shakib Al Hasan,15,10,2,0,150.00
KA Pollard,c Dhawan b Stanlake,28,23,3,2,121.73
BCJ Cutting, b Rashid Khan,9,9,1,0,100.00
PJ Sangwan,lbw b Sandeep Sharma,0,4,0,0,0.00
M Markande,not out,6,3,1,0,200.00
JJ Bumrah,not out,4,5,0,0,80.00

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
Sandeep Sharma,4,0,25,2,6.25,13,2,1,0,0
B Stanlake,4,0,42,2,10.50,13,5,3,1,0
Rashid Khan,4,0,13,1,3.25,18,2,0,1,0
S Kaul,4,0,29,2,7.25,9,4,0,0,1
Shakib Al Hasan,4,0,34,1,8.50,9,2,2,1,0

BATSMEN,,R,B,4s,6s,SR
WP Saha †,lbw b Markande,22,20,3,0,110.00
S Dhawan,c Bumrah b Markande,45,28,8,0,160.71
KS Williamson (c),c †Ishan Kishan b Mustafizur Rahman,6,4,1,0,150.00
MK Pandey,c Sharma b Markande,11,8,1,0,137.50
Shakib Al Hasan, b Markande,12,12,1,0,100.00
DJ Hooda,not out,32,25,1,1,128.00
YK Pathan,c Pollard b Bumrah,14,14,2,0,100.00
Rashid Khan,c †Ishan Kishan b Bumrah,0,1,0,0,0.00
S Kaul,c & b Mustafizur Rahman,0,4,0,0,0.00
Sandeep Sharma,c Pandya b Mustafizur Rahman,0,2,0,0,0.00
B Stanlake,not out,5,2,1,0,250.00

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
PJ Sangwan,2,0,19,0,9.50,5,4,0,0,0
JJ Bumrah,4,0,32,2,8.00,6,4,0,0,0
BCJ Cutting,4,0,40,0,10.00,4,4,1,1,0
KH Pandya,2,0,10,0,5.00,3,0,0,0,0
M Markande,4,0,23,4,5.75,11,3,0,0,0
Mustafizur Rahman,4,0,24,3,6.00,10,3,0,0,0

