BATSMEN,,R,B,4s,6s,SR
SA Yadav,c Unadkat b Archer,38,31,7,0,122.58
E Lewis,c Samson b Kulkarni,60,42,4,4,142.85
RG Sharma (c),c Unadkat b Archer,0,1,0,0,0.00
Ishan Kishan †,c Samson b Stokes,12,11,1,0,109.09
HH Pandya,c Samson b Stokes,36,21,3,2,171.42
KH Pandya,c Gowtham b Unadkat,3,7,0,0,42.85
BCJ Cutting,not out,10,7,0,1,142.85
JP Duminy,not out,0,0,0,0,-

Bowling,O,M,R,W,Econ,WD,NB
K Gowtham,2,0,23,0,11.50,2,0
DS Kulkarni,4,0,43,1,10.75,0,0
JC Archer,4,0,16,2,4.00,3,0
BA Stokes,4,0,26,2,6.50,1,0
S Gopal,2,0,21,0,10.50,0,0
JD Unadkat,4,0,37,1,9.25,1,0

BATSMEN,,R,B,4s,6s,SR
DJM Short,c †Ishan Kishan b Bumrah,4,5,1,0,80.00
JC Buttler †,not out,94,53,9,5,177.35
AM Rahane (c),c Yadav b HH Pandya,37,36,4,0,102.77
SV Samson,c sub (RD Chahar) b HH Pandya,26,14,2,2,185.71
BA Stokes,not out,0,0,0,0,-

Bowling,O,M,R,W,Econ,WD,NB
JJ Bumrah,3,0,34,1,11.33,1,0
MJ McClenaghan,4,0,28,0,7.00,3,0
KH Pandya,4,0,24,0,6.00,0,0
HH Pandya,4,0,52,2,13.00,0,0
M Markande,3,0,32,0,10.66,0,0

