BATSMEN,,R,B,4s,6s,SR

PP Shaw,run out (Pandya),12,8,2,0,150.00
GJ Maxwell, b Bumrah,22,18,4,0,122.22
SS Iyer (c),c KH Pandya b Markande,6,10,0,0,60.00
RR Pant †,c Pollard b KH Pandya,64,44,4,4,145.45
V Shankar,not out,43,30,3,2,143.33
Abhishek Sharma,not out,15,10,0,1,150.00
BATSMEN,,R,B,4s,6s,SR

SA Yadav,c Shankar b Lamichhane,12,4,1,1,300.00
E Lewis,st †Pant b Mishra,48,31,3,4,154.83
Ishan Kishan †,c Shankar b Mishra,5,13,0,0,38.46
KA Pollard,c Boult b Lamichhane,7,7,0,0,100.00
RG Sharma (c),c Boult b Patel,13,11,1,0,118.18
KH Pandya,c sub (R Tewatia) b Lamichhane,4,3,1,0,133.33
HH Pandya,c sub (R Tewatia) b Mishra,27,17,2,1,158.82
BCJ Cutting,c Maxwell b Patel,37,20,2,3,185.00
M Markande, b Boult,3,10,0,0,30.00
JJ Bumrah,c Boult b Patel,0,1,0,0,0.00
Mustafizur Rahman,not out,0,0,0,0,-
