BATSMEN,,R,B,4s,6s,SR
WP Saha †,st †Karthik b Chawla,35,27,5,0,129.62
S Dhawan,lbw b Kuldeep Yadav,34,24,4,1,141.66
KS Williamson (c),c †Karthik b Kuldeep Yadav,3,3,0,0,100.00
Shakib Al Hasan,run out (Kuldeep Yadav),28,24,4,0,116.66
DJ Hooda,c Chawla b Narine,19,19,0,1,100.00
YK Pathan,c Chawla b Shivam Mavi,3,7,0,0,42.85
CR Brathwaite,run out (Rana/†Karthik),8,4,0,1,200.00
Rashid Khan,not out,34,10,2,4,340.00
B Kumar,not out,5,2,1,0,250.00

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
Shivam Mavi,4,0,33,1,8.25,9,2,2,1,0
M Prasidh Krishna,4,0,56,0,14.00,5,4,4,3,0
AD Russell,1,0,9,0,9.00,3,2,0,0,0
SP Narine,4,0,24,1,6.00,7,2,0,0,0
PP Chawla,3,0,22,1,7.33,8,4,0,0,0
Kuldeep Yadav,4,0,29,2,7.25,7,2,1,0,0

BATSMEN,,R,B,4s,6s,SR
CA Lynn,lbw b Rashid Khan,48,31,6,2,154.83
SP Narine,c Brathwaite b Kaul,26,13,4,1,200.00
N Rana,run out (Rashid Khan/†Saha),22,16,1,2,137.50
RV Uthappa, b Rashid Khan,2,8,0,0,25.00
KD Karthik (c) †, b Shakib Al Hasan,8,6,1,0,133.33
Shubman Gill,c Rashid Khan b Brathwaite,30,20,2,1,150.00
AD Russell,c Dhawan b Rashid Khan,3,7,0,0,42.85
PP Chawla, b Kaul,12,12,0,1,100.00
Shivam Mavi,c Rashid Khan b Brathwaite,6,4,1,0,150.00
Kuldeep Yadav,not out,0,3,0,0,0.00
M Prasidh Krishna,not out,0,0,0,0,-

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
B Kumar,4,0,38,0,9.50,9,6,1,0,0
KK Ahmed,3,0,38,0,12.66,7,2,4,1,0
S Kaul,4,0,32,2,8.00,7,1,2,0,0
Rashid Khan,4,0,19,3,4.75,12,2,0,0,0
CR Brathwaite,2,0,15,2,7.50,6,3,0,0,0
Shakib Al Hasan,3,0,16,1,5.33,6,1,0,0,0

