BATSMEN,,R,B,4s,6s,SR

CA Lynn,c Roy b Mohammed Shami,31,29,4,1,106.89
SP Narine,c Maxwell b Boult,1,4,0,0,25.00
RV Uthappa,c & b Nadeem,35,19,2,3,184.21
N Rana,c Gambhir b Morris,59,35,5,4,168.57
KD Karthik (c) †,c Boult b Morris,19,10,2,1,190.00
AD Russell, b Boult,41,12,0,6,341.66
Shubman Gill,c Morris b Tewatia,6,5,1,0,120.00
TK Curran,c Maxwell b Tewatia,2,3,0,0,66.66
PP Chawla,c †Pant b Tewatia,0,3,0,0,0.00
Shivam Mavi,not out,0,0,0,0,-
BATSMEN,,R,B,4s,6s,SR

G Gambhir (c), b Shivam Mavi,8,7,1,0,114.28
JJ Roy,st †Karthik b Chawla,1,3,0,0,33.33
SS Iyer,c Rana b Russell,4,3,1,0,133.33
RR Pant †,c Chawla b Kuldeep Yadav,43,26,7,1,165.38
GJ Maxwell,c Uthappa b Kuldeep Yadav,47,22,3,4,213.63
R Tewatia,c Russell b Curran,1,2,0,0,50.00
V Shankar,lbw b Narine,2,4,0,0,50.00
CH Morris, b Narine,2,3,0,0,66.66
Mohammed Shami,c Russell b Narine,7,6,1,0,116.66
S Nadeem,not out,6,8,0,0,75.00
TA Boult,c & b Kuldeep Yadav,0,2,0,0,0.00
