BATSMEN,,R,B,4s,6s,SR

SA Yadav,c Singh b Chawla,36,32,5,1,112.50
E Lewis,c Lynn b Chawla,18,13,3,0,138.46
RG Sharma (c),c Uthappa b Prasidh Krishna,36,31,2,1,116.12
Ishan Kishan †,c Uthappa b Narine,62,21,5,6,295.23
HH Pandya,c Singh b Curran,19,13,0,2,146.15
BCJ Cutting,c Russell b Chawla,24,9,1,3,266.66
KH Pandya,not out,8,2,0,1,400.00
JP Duminy,not out,0,0,0,0,-
BATSMEN,,R,B,4s,6s,SR

SP Narine,c KH Pandya b McClenaghan,4,2,1,0,200.00
CA Lynn,run out (Yadav/Pandya),21,15,3,1,140.00
RV Uthappa,c Yadav b Markande,14,13,0,2,107.69
N Rana,c Cutting b HH Pandya,21,19,2,1,110.52
AD Russell,c Markande b HH Pandya,2,4,0,0,50.00
KD Karthik (c) †,run out (Duminy/Pandya),5,3,1,0,166.66
RK Singh,c †Ishan Kishan b Bumrah,5,3,1,0,166.66
TK Curran,c Duminy b KH Pandya,18,17,3,0,105.88
PP Chawla,c Yadav b Cutting,11,13,1,0,84.61
Kuldeep Yadav,lbw b KH Pandya,5,15,0,0,33.33
M Prasidh Krishna,not out,1,5,0,0,20.00
