BATSMEN,,R,B,4s,6s,SR

AM Rahane (c),c Rashid Khan b Kaul,13,13,2,0,100.00
DJM Short,run out (Williamson),4,4,1,0,100.00
SV Samson,c Rashid Khan b Shakib Al Hasan,49,42,5,0,116.66
BA Stokes,c Williamson b Stanlake,5,8,0,0,62.50
RA Tripathi,c Pandey b Shakib Al Hasan,17,15,2,0,113.33
JC Buttler †, b Rashid Khan,6,9,0,0,66.66
K Gowtham,c †Saha b Kaul,0,2,0,0,0.00
S Gopal,c Pathan b Kumar,18,18,2,0,100.00
DS Kulkarni,not out,3,4,0,0,75.00
JD Unadkat,run out (Pathan/†Saha),1,2,0,0,50.00
B Laughlin,not out,1,3,0,0,33.33
BATSMEN,,R,B,4s,6s,SR

WP Saha †,c Laughlin b Unadkat,5,5,1,0,100.00
S Dhawan,not out,78,57,13,1,136.84
KS Williamson (c),not out,36,35,3,1,102.85
