BATSMEN,,R,B,4s,6s,SR

CA Lynn,c †Rahul b Tye,74,41,6,4,180.48
SP Narine,c Nair b Mujeeb Ur Rahman,1,4,0,0,25.00
RV Uthappa,c Nair b Ashwin,34,23,5,1,147.82
N Rana,run out (†Rahul/Rajpoot),3,5,0,0,60.00
KD Karthik (c) †,c Tye b Sran,43,28,6,0,153.57
AD Russell,c Nair b Sran,10,7,2,0,142.85
Shubman Gill,not out,14,8,2,0,175.00
TK Curran,c Rajpoot b Tye,1,3,0,0,33.33
PP Chawla,not out,2,2,0,0,100.00
BATSMEN,,R,B,4s,6s,SR

KL Rahul †,c Curran b Narine,60,27,9,2,222.22
CH Gayle,not out,62,38,5,6,163.15
MA Agarwal,not out,2,2,0,0,100.00
