BATSMEN,,R,B,4s,6s,SR

SR Watson,c Markande b KH Pandya,12,11,1,0,109.09
AT Rayudu,c Cutting b KH Pandya,46,35,2,4,131.42
SK Raina,not out,75,47,6,4,159.57
MS Dhoni (c) †,c Lewis b McClenaghan,26,21,3,1,123.80
DJ Bravo,c Markande b McClenaghan,0,1,0,0,0.00
SW Billings,c Cutting b HH Pandya,3,5,0,0,60.00
RA Jadeja,not out,0,0,0,0,-
BATSMEN,,R,B,4s,6s,SR

SA Yadav,c Jadeja b Harbhajan Singh,44,34,5,1,129.41
E Lewis,c Thakur b Bravo,47,43,3,2,109.30
RG Sharma (c),not out,56,33,6,2,169.69
HH Pandya,not out,13,8,0,1,162.50
