Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
DL Chahar,1,0,18,0,18.00,2,1,2,1,0
Harbhajan Singh,2,0,11,1,5.50,5,1,0,0,0
SR Watson,4,0,39,2,9.75,7,5,1,2,0
RA Jadeja,2,0,19,1,9.50,6,1,2,0,0
Imran Tahir,4,0,26,0,6.50,11,2,1,0,0
SN Thakur,4,0,37,1,9.25,11,1,4,0,0
DJ Bravo,3,0,50,0,16.66,3,0,7,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
R Vinay Kumar,1.5,0,35,0,19.09,2,2,3,1,1
PP Chawla,4,0,49,1,12.25,5,3,3,1,0
AD Russell,4,0,35,0,8.75,7,2,2,0,0
TK Curran,3,0,39,2,13.00,3,1,4,0,0
SP Narine,4,0,17,1,4.25,9,0,0,0,0
Kuldeep Yadav,3,0,27,1,9.00,5,1,2,1,0

