Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
N Rana,1,0,5,0,5.00,4,1,0,0,0
M Prasidh Krishna,4,0,30,4,7.50,10,3,1,2,0
AD Russell,3,0,31,1,10.33,10,5,1,1,1
SP Narine,4,0,23,1,5.75,10,0,1,2,0
PP Chawla,2,0,19,0,9.50,2,2,0,0,0
Kuldeep Yadav,4,0,35,1,8.75,4,3,1,0,0
JPR Scantlebury-Searles,2,0,24,1,12.00,2,0,2,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
B Kumar,4,0,33,0,8.25,9,3,1,1,0
Sandeep Sharma,2,0,30,0,15.00,4,3,2,2,0
S Kaul,4,0,26,2,6.50,13,3,1,1,0
Shakib Al Hasan,3,0,30,1,10.00,4,2,2,0,0
Rashid Khan,4,0,31,0,7.75,4,1,1,0,0
CR Brathwaite,2.4,0,21,2,7.87,7,2,1,1,0

