Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
PP Chawla,4,0,18,1,4.50,10,1,0,0,0
Kuldeep Yadav,4,0,23,1,5.75,9,1,1,0,0
SP Narine,4,0,48,0,12.00,6,7,1,0,0
Shivam Mavi,4,0,40,1,10.00,9,3,2,3,0
N Rana,2,0,11,2,5.50,4,1,0,0,0
TK Curran,2,0,19,2,9.50,3,2,0,0,1

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
K Gowtham,4,0,23,2,5.75,12,3,0,0,0
DS Kulkarni,2,0,20,0,10.00,5,4,0,0,0
JD Unadkat,3,0,34,0,11.33,4,3,2,0,0
B Laughlin,3.5,0,37,0,9.65,5,2,2,1,0
S Gopal,3,0,23,0,7.66,7,0,2,0,0
BA Stokes,3,0,25,0,8.33,4,3,0,1,0

