BATSMEN,,R,B,4s,6s,SR
CA Lynn, b Jadeja,22,16,4,0,137.50
SP Narine,c Raina b Harbhajan Singh,12,4,0,2,300.00
RV Uthappa,run out (Raina),29,16,2,3,181.25
N Rana,c †Dhoni b Watson,16,14,2,0,114.28
KD Karthik (c) †,lbw b Watson,26,25,2,1,104.00
RK Singh,c Bravo b Thakur,2,4,0,0,50.00
AD Russell,not out,88,36,1,11,244.44
TK Curran,not out,2,5,0,0,40.00

Bowling,O,M,R,W,Econ,WD,NB
DL Chahar,1,0,18,0,18.00,1,0
Harbhajan Singh,2,0,11,1,5.50,0,0
SR Watson,4,0,39,2,9.75,2,0
RA Jadeja,2,0,19,1,9.50,0,0
Imran Tahir,4,0,26,0,6.50,0,0
SN Thakur,4,0,37,1,9.25,0,0
DJ Bravo,3,0,50,0,16.66,0,0

BATSMEN,,R,B,4s,6s,SR
SR Watson,c Singh b Curran,42,19,3,3,221.05
AT Rayudu,c sub (Shivam Mavi) b Kuldeep Yadav,39,26,3,2,150.00
SK Raina,c Vinay Kumar b Narine,14,12,0,1,116.66
MS Dhoni (c) †,c †Karthik b Chawla,25,28,1,1,89.28
SW Billings,c Uthappa b Curran,56,23,2,5,243.47
RA Jadeja,not out,11,7,0,1,157.14
DJ Bravo,not out,11,5,0,1,220.00

Bowling,O,M,R,W,Econ,WD,NB
R Vinay Kumar,1.5,0,35,0,19.09,1,1
PP Chawla,4,0,49,1,12.25,1,0
AD Russell,4,0,35,0,8.75,0,0
TK Curran,3,0,39,2,13.00,0,0
SP Narine,4,0,17,1,4.25,0,0
Kuldeep Yadav,3,0,27,1,9.00,1,0

