BATSMEN,,R,B,4s,6s,SR

PP Shaw,c Kaul b Rashid Khan,65,36,6,3,180.55
GJ Maxwell,run out (Sandeep Sharma),2,3,0,0,66.66
SS Iyer (c),c Dhawan b Kaul,44,36,3,2,122.22
RR Pant †,lbw b Rashid Khan,18,19,1,0,94.73
NV Ojha,run out (Rashid Khan/†Saha),1,4,0,0,25.00
V Shankar,not out,23,13,1,1,176.92
DT Christian,not out,7,9,0,0,77.77
BATSMEN,,R,B,4s,6s,SR

AD Hales, b Mishra,45,31,3,3,145.16
S Dhawan, b Mishra,33,30,2,1,110.00
KS Williamson (c),not out,32,30,0,1,106.66
MK Pandey,c Shaw b Plunkett,21,17,2,0,123.52
YK Pathan,not out,27,12,2,2,225.00
