Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
YS Chahal,4,0,26,0,6.50,10,3,0,0,0
UT Yadav,4,1,25,3,6.25,12,4,0,0,0
MM Ali,2,0,19,0,9.50,5,0,2,0,0
TG Southee,4,0,37,0,9.25,4,1,2,1,0
Mohammed Siraj,4,0,33,1,8.25,7,3,1,0,0
C de Grandhomme,2,0,23,0,11.50,0,0,1,3,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
K Gowtham,2,0,6,1,3.00,6,0,0,0,0
JC Archer,4,0,37,0,9.25,11,4,2,1,0
B Laughlin,2,0,15,2,7.50,6,3,0,0,0
JD Unadkat,3.2,0,27,2,8.10,8,5,0,0,0
S Gopal,4,0,16,4,4.00,10,0,0,0,0
IS Sodhi,4,0,31,1,7.75,6,3,0,0,0

