BATSMEN,,R,B,4s,6s,SR

Q de Kock †,c Shubman Gill b Kuldeep Yadav,29,27,3,1,107.40
BB McCullum,c †Karthik b Russell,38,28,4,2,135.71
V Kohli (c),not out,68,44,5,3,154.54
M Vohra, b Russell,0,1,0,0,0.00
Mandeep Singh,c Shivam Mavi b Russell,19,14,0,2,135.71
C de Grandhomme,not out,11,6,0,1,183.33
BATSMEN,,R,B,4s,6s,SR

CA Lynn,not out,62,52,7,1,119.23
SP Narine,c de Grandhomme b Ashwin,27,19,3,1,142.10
RV Uthappa,c Southee b Ashwin,36,21,3,3,171.42
N Rana,retired hurt,15,10,2,0,150.00
AD Russell,c †de Kock b Mohammed Siraj,0,1,0,0,0.00
KD Karthik (c) †,c Kohli b Mohammed Siraj,23,10,2,1,230.00
Shubman Gill,not out,5,2,1,0,250.00
