BATSMEN,,R,B,4s,6s,SR

SR Watson,c †Buttler b Laughlin,106,57,9,6,185.96
AT Rayudu,c †Buttler b Laughlin,12,8,2,0,150.00
SK Raina,c Gowtham b Gopal,46,29,9,0,158.62
MS Dhoni (c) †,c Gowtham b Gopal,5,3,1,0,166.66
SW Billings,c Stokes b Gopal,3,7,0,0,42.85
DJ Bravo,not out,24,16,4,0,150.00
RA Jadeja,not out,2,1,0,0,200.00
BATSMEN,,R,B,4s,6s,SR

AM Rahane (c), b Chahar,16,11,1,1,145.45
H Klaasen, b Thakur,7,7,1,0,100.00
SV Samson,c Sharma b Chahar,2,3,0,0,66.66
BA Stokes,c Billings b Imran Tahir,45,37,3,1,121.62
JC Buttler †,c Imran Tahir b Bravo,22,17,1,1,129.41
RA Tripathi,c Billings b Bravo,5,5,0,0,100.00
STR Binny,c & b Thakur,10,8,1,0,125.00
K Gowtham,c †Dhoni b Watson,1,2,0,0,50.00
S Gopal,not out,8,10,0,0,80.00
JD Unadkat, b Sharma,16,10,3,0,160.00
B Laughlin,c †Dhoni b Sharma,0,1,0,0,0.00
