Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
TA Boult,3,0,21,2,7.00,9,3,0,1,0
Avesh Khan,4,0,36,2,9.00,9,5,1,0,0
LE Plunkett,4,0,17,3,4.25,12,1,0,1,0
DT Christian,3,0,17,1,5.66,8,2,0,0,0
A Mishra,4,0,33,0,8.25,7,1,1,2,0
GJ Maxwell,1,0,4,0,4.00,2,0,0,0,0
R Tewatia,1,0,6,0,6.00,1,0,0,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
AS Rajpoot,4,0,23,2,5.75,15,4,0,2,0
BB Sran,4,0,45,1,11.25,5,4,1,3,0
AJ Tye,4,0,25,2,6.25,11,0,1,2,0
R Ashwin,4,0,19,0,4.75,8,1,0,0,0
Mujeeb Ur Rahman,4,0,25,2,6.25,12,2,1,0,0

