Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
K Gowtham,4,0,18,2,4.50,10,0,0,0,0
DS Kulkarni,2,0,20,0,10.00,4,4,0,0,0
JC Archer,4,0,26,3,6.50,9,2,1,0,0
JD Unadkat,3,0,33,1,11.00,4,3,1,0,0
IS Sodhi,3,0,25,1,8.33,3,3,0,0,0
BA Stokes,3,0,20,0,6.66,7,2,0,0,0
MK Lomror,1,0,8,0,8.00,1,1,0,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
Sandeep Sharma,4,0,15,1,3.75,14,1,0,0,0
Shakib Al Hasan,4,0,30,0,7.50,4,2,0,0,0
Basil Thampi,2,0,26,1,13.00,2,3,1,0,0
S Kaul,4,0,23,2,5.75,8,1,0,0,0
Rashid Khan,4,0,31,1,7.75,4,1,1,0,0
YK Pathan,2,0,14,1,7.00,2,1,0,0,0

