Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
AD Russell,2,0,16,0,8.00,4,2,0,2,0
M Prasidh Krishna,4,0,41,1,10.25,8,4,2,1,0
TK Curran,3,0,33,1,11.00,5,2,2,1,1
SP Narine,4,0,27,1,6.75,11,1,2,0,0
PP Chawla,4,0,48,3,12.00,10,6,3,0,0
Kuldeep Yadav,3,0,43,0,14.33,5,1,5,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
MJ McClenaghan,3,0,24,1,8.00,11,4,1,0,0
KH Pandya,3.1,0,12,2,3.78,12,0,1,0,0
JJ Bumrah,3,0,17,1,5.66,10,1,1,0,0
HH Pandya,3,0,16,2,5.33,11,3,0,0,0
M Markande,4,0,26,1,6.50,10,2,1,0,0
BCJ Cutting,2,0,12,1,6.00,6,2,0,0,0

