BATSMEN,,R,B,4s,6s,SR

SR Watson,c †Buttler b Archer,39,31,2,2,125.80
AT Rayudu, b Archer,12,9,2,0,133.33
SK Raina,c Binny b Sodhi,52,35,6,1,148.57
MS Dhoni (c) †,not out,33,23,1,1,143.47
SW Billings,run out (†Buttler),27,22,3,0,122.72
DJ Bravo,not out,1,1,0,0,100.00
BATSMEN,,R,B,4s,6s,SR

JC Buttler †,not out,95,60,11,2,158.33
BA Stokes, b Harbhajan Singh,11,7,1,1,157.14
AM Rahane (c),c Raina b Jadeja,4,3,1,0,133.33
SV Samson,run out (Raina/Bravo),21,22,2,0,95.45
P Chopra,c Bravo b Thakur,8,6,2,0,133.33
STR Binny,c Watson b Bravo,22,17,1,1,129.41
K Gowtham,c †Dhoni b Willey,13,4,0,2,325.00
JC Archer,not out,0,0,0,0,-
