BATSMEN,,R,B,4s,6s,SR

SR Watson,c Hooda b Kumar,9,15,0,1,60.00
F du Plessis,st †Saha b Rashid Khan,11,13,1,0,84.61
SK Raina,not out,54,43,5,2,125.58
AT Rayudu,run out (Pandey/Kaul/Williamson),79,37,9,4,213.51
MS Dhoni (c) †,not out,25,12,3,1,208.33
BATSMEN,,R,B,4s,6s,SR

RK Bhui,c Watson b Chahar,0,5,0,0,0.00
KS Williamson (c),c Jadeja b Bravo,84,51,5,5,164.70
MK Pandey,c Sharma b Chahar,0,2,0,0,0.00
DJ Hooda,c Jadeja b Chahar,1,7,0,0,14.28
Shakib Al Hasan,c Raina b Sharma,24,19,2,1,126.31
YK Pathan,c Raina b Thakur,45,27,1,4,166.66
WP Saha †,not out,5,5,0,0,100.00
Rashid Khan,not out,17,4,1,2,425.00
