Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
PP Chawla,4,0,33,1,8.25,10,4,1,0,0
Kuldeep Yadav,2,0,22,0,11.00,2,0,2,0,0
Shivam Mavi,4,0,58,1,14.50,8,3,6,1,1
SP Narine,3,0,35,0,11.66,4,1,3,0,0
MG Johnson,4,0,42,0,10.50,9,4,3,0,0
AD Russell,3,0,28,1,9.33,6,3,1,1,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
TA Boult,4,0,44,2,11.00,9,4,3,2,0
GJ Maxwell,2,0,22,2,11.00,3,2,1,0,0
Avesh Khan,4,0,29,2,7.25,12,2,2,1,0
LE Plunkett,4,0,24,0,6.00,9,1,1,0,0
A Mishra,4,1,23,2,5.75,10,2,0,0,0
V Shankar,1,0,10,0,10.00,1,0,1,0,0
R Tewatia,1,0,11,0,11.00,3,1,1,0,0

