Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
PP Chawla,3,0,22,0,7.33,10,3,1,0,0
SP Narine,4,0,38,0,9.50,10,4,2,0,0
MG Johnson,3,0,38,0,12.66,3,2,3,1,0
Shivam Mavi,3,0,21,0,7.00,7,2,0,1,0
Kuldeep Yadav,4,0,20,1,5.00,11,0,1,0,0
AD Russell,3,0,31,3,10.33,4,1,2,2,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
TG Southee,4,0,34,0,8.50,7,4,0,2,0
UT Yadav,3.1,0,36,0,11.36,7,3,3,0,0
YS Chahal,4,0,29,0,7.25,10,3,1,0,0
Mohammed Siraj,4,0,40,2,10.00,8,4,1,4,0
M Ashwin,4,0,36,2,9.00,8,4,1,1,0

