BATSMEN,,R,B,4s,6s,SR

S Dhawan, b Chahar,0,1,0,0,0.00
SP Goswami †,c & b Ngidi,12,9,2,0,133.33
KS Williamson (c),c †Dhoni b Thakur,24,15,4,0,160.00
MK Pandey,c & b Jadeja,8,16,0,0,50.00
Shakib Al Hasan,c †Dhoni b Bravo,12,10,2,0,120.00
YK Pathan,c & b Bravo,24,29,3,0,82.75
CR Brathwaite,not out,43,29,1,4,148.27
B Kumar,run out (†Dhoni),7,11,0,0,63.63
BATSMEN,,R,B,4s,6s,SR

SR Watson,c †Goswami b Kumar,0,5,0,0,0.00
F du Plessis,not out,67,42,5,4,159.52
SK Raina, b Kaul,22,13,4,0,169.23
AT Rayudu, b Kaul,0,1,0,0,0.00
MS Dhoni (c) †, b Rashid Khan,9,18,1,0,50.00
DJ Bravo,c Dhawan b Rashid Khan,7,11,0,0,63.63
RA Jadeja,c & b Sandeep Sharma,3,5,0,0,60.00
DL Chahar,c Brathwaite b Sandeep Sharma,10,6,0,1,166.66
Harbhajan Singh,run out (Rashid Khan/Brathwaite),2,9,0,0,22.22
SN Thakur,not out,15,5,3,0,300.00
