Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
TA Boult,4,0,48,0,12.00,10,6,3,0,0
Avesh Khan,4,0,28,0,7.00,11,1,2,1,0
R Tewatia,2,0,23,0,11.50,2,1,2,0,0
LE Plunkett,3,0,52,0,17.33,2,2,6,0,0
A Mishra,4,0,30,1,7.50,4,1,1,0,0
V Shankar,2,0,22,1,11.00,4,3,0,2,1
GJ Maxwell,1,0,5,1,5.00,2,0,0,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
L Ngidi,4,0,26,1,6.50,12,2,1,2,0
KM Asif,3,0,43,2,14.33,5,6,2,1,0
SR Watson,2,0,27,0,13.50,2,2,2,0,0
RA Jadeja,4,0,31,1,7.75,6,2,1,1,0
Harbhajan Singh,4,0,26,0,6.50,8,1,1,1,0
DJ Bravo,3,0,43,0,14.33,3,2,4,1,0

