BATSMEN,,R,B,4s,6s,SR

SA Yadav,lbw b Tewatia,53,32,7,1,165.62
E Lewis,c Roy b Tewatia,48,28,4,4,171.42
Ishan Kishan †, b Christian,44,23,5,2,191.30
RG Sharma (c),c Roy b Boult,18,15,2,0,120.00
KA Pollard, b Christian,0,1,0,0,0.00
KH Pandya,c Tewatia b Mohammed Shami,11,10,1,0,110.00
HH Pandya,c Iyer b Boult,2,3,0,0,66.66
A Dananjaya,not out,4,5,0,0,80.00
M Markande,not out,4,3,0,0,133.33
BATSMEN,,R,B,4s,6s,SR

JJ Roy,not out,91,53,6,6,171.69
G Gambhir (c),c Sharma b Mustafizur Rahman,15,16,2,0,93.75
RR Pant †,c Pollard b KH Pandya,47,25,6,2,188.00
GJ Maxwell,c HH Pandya b KH Pandya,13,6,1,1,216.66
SS Iyer,not out,27,20,3,1,135.00
