BATSMEN,,R,B,4s,6s,SR

AM Rahane (c),c Morris b Nadeem,45,40,5,0,112.50
DJM Short,run out (Shankar),6,3,1,0,200.00
BA Stokes,c †Pant b Boult,16,12,1,1,133.33
SV Samson, b Nadeem,37,22,2,2,168.18
JC Buttler †, b Mohammed Shami,29,18,2,2,161.11
RA Tripathi,not out,15,11,0,1,136.36
K Gowtham,not out,2,1,0,0,200.00
BATSMEN,,R,B,4s,6s,SR

GJ Maxwell,c †Buttler b Laughlin,17,12,2,1,141.66
C Munro,run out (†Buttler/Gowtham),0,0,0,0,-
RR Pant †,c Gowtham b Unadkat,20,14,3,0,142.85
CH Morris,not out,17,7,2,1,242.85
V Shankar,c Stokes b Laughlin,3,3,0,0,100.00
SS Iyer,not out,0,0,0,0,-
