BATSMEN,,R,B,4s,6s,SR

PA Patel †,c Kaul b Sandeep Sharma,1,4,0,0,25.00
V Kohli (c), b Rashid Khan,12,11,2,0,109.09
AB de Villiers,c Dhawan b Rashid Khan,69,39,12,1,176.92
MM Ali,c †Goswami b Rashid Khan,65,34,2,6,191.17
C de Grandhomme,c Rashid Khan b Kaul,40,17,1,4,235.29
Mandeep Singh,c Dhawan b Kaul,4,6,0,0,66.66
SN Khan,not out,22,8,3,1,275.00
TG Southee,not out,1,1,0,0,100.00
BATSMEN,,R,B,4s,6s,SR

S Dhawan,c & b Chahal,18,15,0,2,120.00
AD Hales,c de Villiers b Ali,37,24,2,3,154.16
KS Williamson (c),c de Grandhomme b Mohammed Siraj,81,42,7,5,192.85
MK Pandey,not out,62,38,7,2,163.15
DJ Hooda,not out,1,1,0,0,100.00
