BATSMEN,,R,B,4s,6s,SR

KL Rahul †, b Ngidi,7,11,1,0,63.63
CH Gayle,c †Dhoni b Ngidi,0,2,0,0,0.00
AJ Finch,c Raina b Chahar,4,6,1,0,66.66
MK Tiwary,c †Dhoni b Jadeja,35,30,3,1,116.66
DA Miller, b Bravo,24,22,1,1,109.09
KK Nair,c Chahar b Bravo,54,26,3,5,207.69
AR Patel,c Billings b Thakur,14,12,0,1,116.66
R Ashwin (c),c †Dhoni b Ngidi,0,1,0,0,0.00
AJ Tye,c Raina b Ngidi,0,2,0,0,0.00
MM Sharma,not out,2,3,0,0,66.66
AS Rajpoot,c du Plessis b Thakur,2,4,0,0,50.00
BATSMEN,,R,B,4s,6s,SR

AT Rayudu,c †Rahul b Sharma,1,3,0,0,33.33
F du Plessis,c Gayle b Rajpoot,14,15,3,0,93.33
SK Raina,not out,61,48,4,2,127.08
SW Billings, b Rajpoot,0,1,0,0,0.00
Harbhajan Singh,lbw b Ashwin,19,22,2,1,86.36
DL Chahar,c Sharma b Ashwin,39,20,1,3,195.00
MS Dhoni (c) †,not out,16,7,1,1,228.57
