BATSMEN,,R,B,4s,6s,SR

SP Narine,st †Klaasen b Gowtham,4,2,1,0,200.00
CA Lynn,c & b Gopal,18,22,2,0,81.81
RV Uthappa,c & b Gowtham,3,7,0,0,42.85
N Rana,c Unadkat b Archer,3,5,0,0,60.00
KD Karthik (c) †,c Rahane b Laughlin,52,38,4,2,136.84
Shubman Gill,c †Klaasen b Archer,28,17,3,1,164.70
AD Russell,not out,49,25,3,5,196.00
JPR Scantlebury-Searles,c Archer b Laughlin,2,5,0,0,40.00
PP Chawla,not out,0,0,0,0,-
BATSMEN,,R,B,4s,6s,SR

AM Rahane (c),c & b Kuldeep Yadav,46,41,4,1,112.19
RA Tripathi,c & b Chawla,20,13,1,2,153.84
SV Samson,c Scantlebury-Searles b Chawla,50,38,4,2,131.57
H Klaasen †,not out,18,18,1,0,100.00
STR Binny,c Lynn b Prasidh Krishna,0,3,0,0,0.00
K Gowtham,not out,9,7,1,0,128.57
