Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
B Kumar,4,0,30,1,7.50,10,4,0,3,0
B Stanlake,4,0,29,1,7.25,7,2,0,1,0
Shakib Al Hasan,4,0,23,2,5.75,9,2,0,0,0
S Kaul,4,0,17,2,4.25,11,1,0,1,0
Rashid Khan,4,0,23,1,5.75,11,3,0,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
DS Kulkarni,2.5,0,18,0,6.35,12,2,1,1,0
JD Unadkat,3,0,28,1,9.33,8,3,1,1,0
K Gowtham,1,0,9,0,9.00,3,2,0,0,0
B Laughlin,2,0,20,0,10.00,4,3,0,0,1
S Gopal,3,0,18,0,6.00,7,2,0,0,0
BA Stokes,2,0,21,0,10.50,4,4,0,1,0
DJM Short,2,0,9,0,4.50,7,1,0,0,0

