BATSMEN,,R,B,4s,6s,SR

WP Saha †,st †Karthik b Chawla,35,27,5,0,129.62
S Dhawan,lbw b Kuldeep Yadav,34,24,4,1,141.66
KS Williamson (c),c †Karthik b Kuldeep Yadav,3,3,0,0,100.00
Shakib Al Hasan,run out (Kuldeep Yadav),28,24,4,0,116.66
DJ Hooda,c Chawla b Narine,19,19,0,1,100.00
YK Pathan,c Chawla b Shivam Mavi,3,7,0,0,42.85
CR Brathwaite,run out (Rana/†Karthik),8,4,0,1,200.00
Rashid Khan,not out,34,10,2,4,340.00
B Kumar,not out,5,2,1,0,250.00
BATSMEN,,R,B,4s,6s,SR

CA Lynn,lbw b Rashid Khan,48,31,6,2,154.83
SP Narine,c Brathwaite b Kaul,26,13,4,1,200.00
N Rana,run out (Rashid Khan/†Saha),22,16,1,2,137.50
RV Uthappa, b Rashid Khan,2,8,0,0,25.00
KD Karthik (c) †, b Shakib Al Hasan,8,6,1,0,133.33
Shubman Gill,c Rashid Khan b Brathwaite,30,20,2,1,150.00
AD Russell,c Dhawan b Rashid Khan,3,7,0,0,42.85
PP Chawla, b Kaul,12,12,0,1,100.00
Shivam Mavi,c Rashid Khan b Brathwaite,6,4,1,0,150.00
Kuldeep Yadav,not out,0,3,0,0,0.00
M Prasidh Krishna,not out,0,0,0,0,-
