Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
DL Chahar,3,0,23,1,7.66,11,3,1,2,0
L Ngidi,3,0,14,2,4.66,10,1,0,2,0
RA Jadeja,4,0,19,1,4.75,10,1,0,0,0
SN Thakur,4,0,27,1,6.75,10,2,1,0,0
Harbhajan Singh,2,0,24,0,12.00,4,2,2,0,0
DJ Bravo,4,0,52,0,13.00,4,1,5,2,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
TA Boult,4,0,20,2,5.00,12,0,1,0,0
S Lamichhane,4,0,21,1,5.25,10,0,1,0,0
Avesh Khan,2,0,28,0,14.00,5,2,3,0,0
HV Patel,4,0,23,1,5.75,10,1,1,0,0
A Mishra,4,0,20,2,5.00,12,1,1,0,0
GJ Maxwell,2,0,14,0,7.00,4,2,0,0,0

