Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
MJ McClenaghan,4,0,31,1,7.75,12,1,3,1,0
JJ Bumrah,4,0,19,1,4.75,11,0,1,0,0
HH Pandya,4,0,44,1,11.00,8,5,2,3,0
M Markande,3,0,29,1,9.66,6,2,2,1,0
JP Duminy,1,0,8,0,8.00,1,1,0,0,0
BCJ Cutting,3,0,28,1,9.33,4,1,2,0,0
KH Pandya,1,0,10,0,10.00,1,0,1,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
R Ashwin,4,0,23,0,5.75,7,0,1,0,0
AS Rajpoot,3,0,31,0,10.33,8,2,3,0,0
AJ Tye,4,0,35,1,8.75,8,4,1,1,0
Mujeeb Ur Rahman,4,0,37,2,9.25,11,1,4,1,0
AR Patel,1,0,9,0,9.00,1,1,0,0,0
MP Stoinis,3,0,37,1,12.33,6,5,2,0,0

