BATSMEN,,R,B,4s,6s,SR

RA Tripathi,not out,80,58,5,3,137.93
JC Archer,c †Patel b Yadav,0,4,0,0,0.00
AM Rahane (c),lbw b Yadav,33,31,3,0,106.45
SV Samson,c Ali b Yadav,0,1,0,0,0.00
H Klaasen †,c Ali b Mohammed Siraj,32,21,3,1,152.38
K Gowtham,run out (†Patel/Southee),14,5,0,2,280.00
BATSMEN,,R,B,4s,6s,SR

V Kohli (c), b Gowtham,4,9,0,0,44.44
PA Patel †,st †Klaasen b Gopal,33,21,3,2,157.14
AB de Villiers,st †Klaasen b Gopal,53,35,7,0,151.42
MM Ali,c & b Gopal,1,2,0,0,50.00
Mandeep Singh,st †Klaasen b Gopal,3,4,0,0,75.00
C de Grandhomme,c Rahane b Sodhi,2,3,0,0,66.66
SN Khan,c †Klaasen b Laughlin,7,8,1,0,87.50
TG Southee,c Gowtham b Unadkat,14,17,2,0,82.35
UT Yadav, b Laughlin,0,1,0,0,0.00
Mohammed Siraj,c Gowtham b Unadkat,14,12,2,0,116.66
YS Chahal,not out,0,4,0,0,0.00
