Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
MM Sharma,4,0,40,1,10.00,8,4,2,1,0
Mujeeb Ur Rahman,2.2,0,28,0,12.00,4,2,2,0,0
R Ashwin,2.4,0,36,0,13.50,3,4,2,1,0
BB Sran,3,0,48,1,16.00,5,5,4,0,0
AJ Tye,4,0,41,4,10.25,7,4,2,2,0
AR Patel,4,0,52,0,13.00,4,5,3,1,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
SP Narine,4,0,44,1,11.00,6,2,4,0,0
M Prasidh Krishna,4,0,31,2,7.75,10,3,1,2,0
JPR Scantlebury-Searles,4,0,52,1,13.00,4,3,4,3,0
AD Russell,4,0,41,3,10.25,10,2,4,0,0
Kuldeep Yadav,2,0,29,1,14.50,2,1,3,1,0
PP Chawla,2,0,16,0,8.00,1,1,0,0,0

