Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
DL Chahar,3,0,14,1,4.66,12,2,0,0,0
SR Watson,4,0,29,2,7.25,12,1,2,1,0
Harbhajan Singh,2,0,14,0,7.00,3,1,0,0,0
RA Jadeja,1,0,9,0,9.00,3,2,0,0,0
MA Wood,4,0,49,0,12.25,6,6,2,1,0
Imran Tahir,2,0,23,1,11.50,4,3,1,0,0
DJ Bravo,4,0,25,0,6.25,9,3,0,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
MJ McClenaghan,4,0,44,1,11.00,5,4,2,1,0
Mustafizur Rahman,3.5,0,39,1,10.17,8,6,1,0,0
JJ Bumrah,4,0,37,1,9.25,10,0,4,0,1
HH Pandya,4,0,24,3,6.00,12,1,1,3,0
M Markande,4,0,23,3,5.75,11,0,2,0,0

