Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
R Ashwin,4,0,30,1,7.50,10,3,1,0,0
AS Rajpoot,3,0,37,1,12.33,4,7,0,0,0
Mujeeb Ur Rahman,4,0,27,3,6.75,8,3,0,1,0
AR Patel,4,0,21,1,5.25,7,1,0,0,0
AJ Tye,4,0,24,2,6.00,7,2,0,0,0
MP Stoinis,1,0,6,0,6.00,1,0,0,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
K Gowtham,3,0,18,1,6.00,11,3,0,1,0
JC Archer,3.4,0,43,1,11.72,7,4,2,1,0
BA Stokes,3,0,22,1,7.33,4,2,0,0,0
JD Unadkat,4,0,26,0,6.50,12,2,1,1,0
S Gopal,3,0,26,0,8.66,5,1,2,0,0
Anureet Singh,2,0,20,1,10.00,3,1,1,0,0

