BATSMEN,,R,B,4s,6s,SR

PP Shaw, b Chawla,62,44,7,2,140.90
C Munro, b Shivam Mavi,33,18,4,2,183.33
SS Iyer (c),not out,93,40,3,10,232.50
RR Pant †,c †Karthik b Russell,0,1,0,0,0.00
GJ Maxwell,run out (†Karthik/Shivam Mavi),27,18,1,2,150.00
V Shankar,not out,0,0,0,0,-
BATSMEN,,R,B,4s,6s,SR

CA Lynn, b Maxwell,5,6,1,0,83.33
SP Narine,c Iyer b Boult,26,9,1,3,288.88
RV Uthappa,c Shaw b Boult,1,2,0,0,50.00
N Rana,c & b Avesh Khan,8,7,1,0,114.28
KD Karthik (c) †,c Boult b Mishra,18,18,0,1,100.00
Shubman Gill,run out (Iyer/†Pant),37,29,3,1,127.58
AD Russell, b Avesh Khan,44,30,3,4,146.66
Shivam Mavi, b Mishra,0,3,0,0,0.00
PP Chawla,c Munro b Maxwell,2,4,0,0,50.00
MG Johnson,not out,12,6,2,0,200.00
Kuldeep Yadav,not out,7,6,1,0,116.66
