BATSMEN,,R,B,4s,6s,SR

KL Rahul †,c Duminy b Markande,24,20,1,2,120.00
CH Gayle,c Yadav b Cutting,50,40,6,2,125.00
Yuvraj Singh,run out (Lewis/†Ishan Kishan),14,14,0,1,100.00
KK Nair,c HH Pandya b McClenaghan,23,12,1,2,191.66
AR Patel,c HH Pandya b Bumrah,13,12,0,1,108.33
MP Stoinis,not out,29,15,2,2,193.33
MA Agarwal,c KH Pandya b HH Pandya,11,7,0,1,157.14
R Ashwin (c),not out,0,0,0,0,-
BATSMEN,,R,B,4s,6s,SR

SA Yadav,c †Rahul b Stoinis,57,42,6,3,135.71
E Lewis,c †Rahul b Mujeeb Ur Rahman,10,13,0,0,76.92
Ishan Kishan †, b Mujeeb Ur Rahman,25,19,0,3,131.57
HH Pandya, b Tye,23,13,2,1,176.92
RG Sharma (c),not out,24,15,1,2,160.00
KH Pandya,not out,31,12,4,2,258.33
