BATSMEN,,R,B,4s,6s,SR

S Dhawan,c Harbhajan Singh b Bravo,79,49,10,3,161.22
AD Hales,c Raina b Chahar,2,9,0,0,22.22
KS Williamson (c),c Bravo b Thakur,51,39,5,2,130.76
MK Pandey,c Willey b Thakur,5,6,0,0,83.33
DJ Hooda,not out,21,11,1,1,190.90
Shakib Al Hasan,not out,8,6,1,0,133.33
BATSMEN,,R,B,4s,6s,SR

SR Watson,run out (Williamson/†Goswami),57,35,5,3,162.85
AT Rayudu,not out,100,62,7,7,161.29
SK Raina,c Williamson b Sandeep Sharma,2,3,0,0,66.66
MS Dhoni (c) †,not out,20,14,1,1,142.85
