Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
AS Rajpoot,4,0,46,1,11.50,10,5,3,2,0
MM Sharma,3,0,34,0,11.33,8,2,3,1,1
AJ Tye,4,0,16,4,4.00,15,1,0,1,0
AR Patel,3,0,24,0,8.00,2,0,1,1,0
R Ashwin,3,0,18,2,6.00,5,0,1,0,0
MP Stoinis,3,0,43,1,14.33,3,4,3,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
MJ McClenaghan,4,0,37,2,9.25,10,4,2,1,0
JJ Bumrah,4,0,15,3,3.75,11,0,0,1,0
HH Pandya,4,0,42,0,10.50,6,3,2,2,0
KH Pandya,4,0,36,0,9.00,4,5,0,0,0
M Markande,3,0,34,0,11.33,0,1,2,1,0
BCJ Cutting,1,0,15,0,15.00,0,3,0,0,0

