BATSMEN,,R,B,4s,6s,SR

AM Rahane (c),st †Karthik b Rana,36,19,5,1,189.47
DJM Short, b Rana,44,43,5,1,102.32
SV Samson,c Kuldeep Yadav b Shivam Mavi,7,8,1,0,87.50
RA Tripathi,c Russell b Kuldeep Yadav,15,11,2,0,136.36
BA Stokes,c Rana b Chawla,14,11,0,1,127.27
JC Buttler †,not out,24,18,2,0,133.33
K Gowtham,c Shivam Mavi b Curran,12,7,0,1,171.42
S Gopal, b Curran,0,1,0,0,0.00
DS Kulkarni,run out (Shubman Gill/Shivam Mavi),3,3,0,0,100.00
JD Unadkat,not out,0,0,0,0,-
BATSMEN,,R,B,4s,6s,SR

SP Narine,run out (Unadkat/†Buttler),35,25,5,1,140.00
CA Lynn, b Gowtham,0,2,0,0,0.00
RV Uthappa,c Stokes b Gowtham,48,36,6,2,133.33
N Rana,not out,35,27,2,1,129.62
KD Karthik (c) †,not out,42,23,2,2,182.60
