BATSMEN,,R,B,4s,6s,SR

AM Rahane (c),c Yadav b Woakes,36,20,6,1,180.00
DJM Short,c †de Kock b Chahal,11,17,1,0,64.70
SV Samson,not out,92,45,2,10,204.44
BA Stokes, b Chahal,27,21,2,1,128.57
JC Buttler †,c Kohli b Woakes,23,14,2,1,164.28
RA Tripathi,not out,14,5,1,1,280.00
BATSMEN,,R,B,4s,6s,SR

BB McCullum,c Stokes b Gowtham,4,4,1,0,100.00
Q de Kock †,c Unadkat b Short,26,19,4,0,136.84
V Kohli (c),c Short b Gopal,57,30,7,2,190.00
AB de Villiers,c Unadkat b Gopal,20,18,1,1,111.11
Mandeep Singh,not out,47,25,6,1,188.00
P Negi,c †Buttler b Laughlin,3,4,0,0,75.00
Washington Sundar, b Stokes,35,19,1,3,184.21
CR Woakes,not out,0,1,0,0,0.00
