BATSMEN,,R,B,4s,6s,SR

KL Rahul †,lbw b Rashid Khan,18,21,3,0,85.71
CH Gayle,not out,104,63,1,11,165.07
MA Agarwal,c Hooda b Kaul,18,9,2,1,200.00
KK Nair,c Dhawan b Kumar,31,21,3,1,147.61
AJ Finch,not out,14,6,1,1,233.33
BATSMEN,,R,B,4s,6s,SR

WP Saha †, b Sharma,6,7,1,0,85.71
S Dhawan,retired hurt,0,1,0,0,0.00
KS Williamson (c),c Finch b Tye,54,41,3,2,131.70
YK Pathan, b Sharma,19,13,3,0,146.15
MK Pandey,not out,57,42,3,1,135.71
DJ Hooda,c sub (MK Tiwary) b Tye,5,5,0,0,100.00
Shakib Al Hasan,not out,24,12,1,2,200.00
