BATSMEN,,R,B,4s,6s,SR

KL Rahul †,c Bravo b Harbhajan Singh,37,22,7,0,168.18
CH Gayle,c Imran Tahir b Watson,63,33,7,4,190.90
MA Agarwal,c Jadeja b Imran Tahir,30,19,1,2,157.89
Yuvraj Singh,c †Dhoni b Thakur,20,13,2,1,153.84
AJ Finch,lbw b Imran Tahir,0,1,0,0,0.00
KK Nair,c Jadeja b Bravo,29,17,2,1,170.58
R Ashwin (c),c †Dhoni b Thakur,14,11,0,1,127.27
AJ Tye,not out,3,4,0,0,75.00
BB Sran,not out,0,0,0,0,-
BATSMEN,,R,B,4s,6s,SR

SR Watson,c Sran b Sharma,11,9,2,0,122.22
M Vijay,c Sran b Tye,12,10,0,1,120.00
AT Rayudu,run out (Ashwin),49,35,5,1,140.00
SW Billings,lbw b Ashwin,9,8,1,0,112.50
MS Dhoni (c) †,not out,79,44,6,5,179.54
RA Jadeja,c Ashwin b Tye,19,13,1,1,146.15
DJ Bravo,not out,1,1,0,0,100.00
