Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
B Kumar,4,0,26,3,6.50,13,2,1,0,2
B Stanlake,4,0,21,2,5.25,15,2,1,0,0
S Kaul,4,0,37,1,9.25,10,5,1,0,0
Rashid Khan,4,0,31,0,7.75,5,2,1,0,0
Shakib Al Hasan,4,0,21,2,5.25,11,1,0,1,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
MG Johnson,3,0,30,1,10.00,9,5,0,4,0
AD Russell,3,0,39,0,13.00,4,5,2,0,0
SP Narine,4,0,17,2,4.25,11,0,0,1,0
PP Chawla,4,0,20,1,5.00,10,2,0,0,0
Kuldeep Yadav,4,0,23,1,5.75,8,2,0,0,0
Shivam Mavi,1,0,10,0,10.00,1,0,1,0,0

